inputs snt do_max try_min try_max prune slice backend fallback reallocate prog_len prog_saved prog_regs cpu_time
34 batcher False True False True 0 sat False True 852 24 39 31.442628
34 batcher False True False True 11 sat False True 852 24 39 24.314686
34 batcher False True False True 17 sat False True 852 24 39 26.090982
34 batcher False True False True -1 sat False True 852 24 39 20.164874
34 batcher False True False True 1 sat False True 876 0 35 8.894417
34 batcher False True False True -1 z3 False True 852 24 39 100.759148
34 batcher False True False True 2 sat False True 867 9 37 9.667315
34 batcher False True False True 4 sat False True 860 16 38 12.363275
34 batcher False True False True 5 sat False True 857 19 39 15.237744
34 batcher False True False True 6 sat False True 856 20 39 16.885847
34 batcher False True False True 8 sat False True 852 24 39 22.163100
34 jgamble_batcher False True False False -1 sat True True 852 24 39 5936.772816
35 batcher False True False True 0 sat False True 901 27 40 35.656891
35 batcher False True False True 11 sat False True 901 27 40 29.084832
35 batcher False True False True 17 sat False True 901 27 40 27.038932
35 batcher False True False True -1 sat False True 901 27 40 22.595247
35 batcher False True False True 1 sat False True 928 0 36 11.393849
35 batcher False True False True -1 z3 False True 901 27 40 117.173253
35 batcher False True False True 2 sat False True 918 10 39 11.649726
35 batcher False True False True 4 sat False True 910 18 39 14.551514
35 batcher False True False True 5 sat False True 907 21 40 15.277226
35 batcher False True False True 7 sat False True 903 25 40 22.478913
35 batcher False True False True 8 sat False True 901 27 40 27.231629
35 jgamble_batcher False True False False -1 sat True True 901 27 40 7591.098008
